*propname*'s?,,,
"guys who claim to like me, present & future:  [...quit telling me what you think i want to hear (especially if you have no intention of backing it up ~consistently~ through your actions)... & just start telling me how it truly is, dammit..! if in reality it's not enough, i have a right to know that, & you have no right to claim otherwise.]",,,
"i'm going to sleep out of pure boredom. goodbye for now, conscious world.",,,
moving day...,,,
"es momento de aprender a dejar ir las cosas. por favor, que aquella luz, guía mía, me lleve a los lugares indicados.",,,
"we will miss the moos-rubins, but we're looking forward to another great evening at the bowl.",,,
"what makes people happy? apparently we really suck at knowing what makes us happy. its a measurable, replicable scientific fact. i dunno why that strikes me funny. lol. lord, teach us to be joyful in you.",,,
drove to a gas station. number of times sent into a panic behind the wheel: 6. i hate 40 mph zones. d,,,
"~ ""i can no longer tell the days from the nights. the moon glows an eerie red and i could swear it was covered in blood. what have you all done? what have you all become? a people more concerned with the temporary pleasures of this world rather than your salvation? i am now convinced that this is the end. as i raise my head towards the heavens to take one last look at the moon, the stars begin to fall.""",,,
really wishes she lived in england or france right about now,,,
is expecting... but doesn't know the bunny daddy.,,,
is excited about seeing *propname* tonight and going on the boat cruise!,,,
why is it i'm only getting the urge to draw when i have stuff to do for school? d,,,
"is tempted to skip my voice class today, go home, and make myself some udon or soon tofu stew",,,
amadeus is quite possibly the most perfectly made movie *ever*...  director's cut bits add even more to the perfection.,,,
"my party was brilliant so thanku everyne who came :) - thanx also too everyone who gave me a gift or card they are all amazing and very lovely, so cheers :) xxx",,,
going to dc tomorrow! will crash the white house like the salahis while i'm there.,,,
wishes *propname* would answer his phone so she could stop worrying.,,,
is going to hear *propname* read her own poetry tonight...,,,
would like to have more than 24 hours in a day!!,,,
friday why do you come on so strong?,,,
is done with writing her paper! now i just have to edit it and start studying for finals! ://,,,
probably the busiest i have ever been in my life,,,
news at 11... where to get the perfect jeans! seriously?!? when did the news get so stupid?,,,
writes briefly on our expectations of films. http:////www.examiner.com//examiner//x-24676-gainesville-film-industry-examiner~y2010m1d20-danger-expectations,,,
is off to scout camp (old indian in sc) for a week,,,
thinks pipe tobacco is way better than cigarettes.,,,
funniest thing happen to roman polanski :d lol,,,
what i didn't want: more characters on heroes.,,,
sometime the military [air force] isn't really smart about money.,,,
really wants to see avatar...tomorrow...night... hint hint ,),,
off to football :),,,
get around round round i get around still down with the underground when i come around,,,
research and then work 3:30 til close,,,
is off to dreamland,,,
"passed a family of ducks, two squirrels, a chipmunk, a raccoon, and a bassoonist on his way to the laundry room.",,,
needs job//money to support hobbies other than studying....,,,
15k at bellagio today... off to the races,,,
"is looking into her personality type. has the same as luke skywalker, gandhi, and adam sandler, among others. is pleased.",,,
"notes: ""honey mesquite pods were a primary food of the residents of the sw north american deserts (felger 1977). pods are quite sweet and whole pod composition is 80% carbohydrate, 13% protein, 25% fiber, and 3% fat (zolfaghari et al. 1982). the pods are ",,,
does a 40degree f difference matter? when its bw 20 and 60?,,,
"""happy non-denominational happy winter...""  just kidding... happy holidays everyone...",,,
partay. for few hours.,,,
gonna try to re-setup physx and add in nxogre on my com tomorrow... roar!!!,,,
gazed upon the face of the savior of the monkeys and wept from the beauty of the sight.,,,
might have to trade in bastille day celebrations for a nice quiet night in my apartment...if anyone wants to hang tonight let me know.,,,
is once again wishing for a gardener and a maid.,,,
"great time at the gym, thanks ladies and *propname*! to bed to sleep, to sleep to dream...",,,
techno colored beats,,,
has the systems for higher brain function and complex thought offline at the moment. we apologize for any incovience. (such as the spelling of this update),,,
"sand is overrated. it's just tiny, little rocks....",,,
"por favor, que las cosas mejoren! si es que en verdad alguien puede ayudar, que le otorguen lo que necesita!",,,
"""i believe in love. it's just my heart that keeps turning me down. i believe in love, i think it's just fine.""",,,
awesome way to start the week...not,,,
"i was dreaming of a white christmas, but now am dreaming of sunshine and warm weather :)",,,
"back from vacation. cruise was fun, but now i feel like i need a vacation from the previous vacation...",,,
"finds it funny how absolutely kung fu panda dominated the *propname* last year.  even wall-e didn't stand a chance!  (oh, yeah, that's what *propname* was named after. ;)",,,
learns more and more every day that timing is everything.,,,
we had so much fun at *propname*'s 4th birthday party!  <3,,,
has her first meeting with the *propname* automation team today. are they going to haze me?,,,
is going to sleep... soon,,,
well squats were certainly a good idea right before bed  . . . stupid stairs,,,
thinks the indians might be taking the humble food fight a little too seriously... http:////news.bbc.co.uk//1//hi//world//south_asia//8119591.stm,,,
"ah crap, mondays always comes too fast,the week should start on tuesdays",,,
happy christmass eve,,,
thinks it's awesome that he's sitting in his room in a sweater because he left the window open during the day.,,,
is headed to new york city tomorrow!  gladys's room stand up!  i will see you all on friday!,,,
i feel accomplished!  i finished 1st for the jv boys in the christian league and 5th overall in the race.  i gotta get mi tarea done now so i will talk to all of you manana,,,
"back to work. trying to get everything cleaned up before the new year. if you saw my desk, you would understand why i am starting now :)",,,
can someone please tell me what the deal is with practice tomorrow!!!,,,
my skull,,,
"saw my old friend *propname* today, lots of catchin' up to do...=]]",,,
is watching snl =d,,,
cmon weekend! good shit on the way. ooo oooooo.,,,
wants a mojito.,,,
"merry christmas..celebrate the day with ur family, wine nd cake.... nd christians, go to church...lastly, thanks to my buddy who msgd me xactly at the stroke f midnight, i made a jerk out f myself in the church, with evryone staring at me - made my day special..lol!!!!",,,
is in need of sleep and clean laundry,,,
i just bought books and booked a flight for chaz and i to denver!!!,,,
has a fair idea of how to manage the 2.5 kids cliche... she just needs a very strong gentleman named *propname* and thriteen wet napkins.,,,
"hates that *propname* is leaving today, but had a great weekend and am excited he will be right back on thursday!!! :)",,,
la dee dee 1 2 3 *propname* the half a bee,,,
is with his darling...oh what simple things many take for granted. thank you lord for your gift of life. thank you lord for *propname* :),,,
is tired and irritated. almost time for green tea and robot chicken! hope i get my stupid bromley id tomorrow.,,,
free shipping is my downfall.,,,
bought a new shirt but may not leave his hotel room.,,,
